"","Date","Chilled Water","Electricity","Steam"
"1","1-31-2014",8298.375,64006.875,110713.8125
"2","1-31-2015",6485.25,64021.375,67301.875
"3","1-31-2016",4766,50899.75,131268.8125
"4","1-31-2017",10729.9375,206673,493729.5
"5","1-31-2018",27735.75,204148.4375,371246.25
"6","1-31-2019",27267.875,83476.5625,409447
"7","10-31-2013",16044.5,63961.6875,47774.375
"8","10-31-2014",30984,71208.125,48856.75
"9","10-31-2015",41868.625,71806.5625,41126.375
"10","10-31-2016",158421.625,230685.3125,216763.4375
"11","10-31-2017",168981.1875,240962.375,181785.4375
"12","10-31-2018",244304.5625,93970.9375,210389.625
"13","10-31-2019",185431.75,228179.625,236262.5625
"14","11-30-2013",10915.5,15969.4375,78041.625
"15","11-30-2014",12444.75,63828.8125,81292.75
"16","11-30-2015",7628.5,61147.0625,117946.125
"17","11-30-2016",69844.375,204766.5625,276896.9375
"18","11-30-2017",68024.6875,207049.9375,275828.3125
"19","11-30-2018",80728.25,80320.0625,333731.4375
"20","11-30-2019",79187.8125,201072.25,301228.875
"21","12-31-2013",6650.25,13152.5625,117676.9375
"22","12-31-2014",5736.5,52488.8125,58162.5625
"23","12-31-2015",4923.875,57809.6875,156474.6875
"24","12-31-2016",11627.75,177596.0625,447937.1875
"25","12-31-2017",21562.25,195700.125,384390.875
"26","12-31-2018",10516.5625,75276.125,403410.875
"27","12-31-2019",15268,194380.1875,411898.875
"28","2-28-2013",7020.75,55385.1875,109584.25
"29","2-28-2014",7257.75,60190.5,93311.375
"30","2-28-2015",9286.5,17887.625,64385.75
"31","2-28-2017",45861,202221.9375,342919.25
"32","2-28-2018",51967.875,194381.6875,321522.625
"33","2-28-2019",11776.5625,77745.9375,439495.75
"34","2-29-2016",10984.5,200981.875,88147.5625
"35","3-31-2013",14612.25,62426.125,72721.0625
"36","3-31-2014",12622,64584.9375,76306.125
"37","3-31-2015",23124.25,70705.3125,68396.5625
"38","3-31-2016",11484.4375,216916.0625,85248.5625
"39","3-31-2017",92386.4375,222138.0625,320537.8125
"40","3-31-2018",54479.1875,211260.5625,346196.4375
"41","3-31-2019",47907.375,86268.625,368262.625
"42","4-30-2013",23761,63975.3125,46579.3125
"43","4-30-2014",20179.5,67143.25,61179.625
"44","4-30-2015",25028.3125,69326.75,69866.1875
"45","4-30-2016",19816.25,221772.4375,57466.8125
"46","4-30-2017",112735.75,218306.0625,264390.9375
"47","4-30-2018",140827.1875,223179.3125,259487.9375
"48","4-30-2019",176009.9375,91559,272440.5
"49","5-31-2013",30776.5,67407.3125,32538.0625
"50","5-31-2014",34932,73328,44876.4375
"51","5-31-2015",27917.875,71196.4375,65139.8125
"52","5-31-2016",29560.4375,233280.1875,44683.8125
"53","5-31-2017",229006.75,236008.1875,194942.9375
"54","5-31-2018",205473.8125,240562.5625,219325.625
"55","5-31-2019",185414.625,91813.625,291550.3125
"56","6-30-2013",39354,57208.4375,26019.9375
"57","6-30-2014",40262,65389.3125,38944
"58","6-30-2015",47910.875,64833.25,47608.6875
"59","6-30-2016",44477.9375,213011.125,170966.75
"60","6-30-2017",266419,226352,152369.0625
"61","6-30-2018",271816.8125,222828.1875,174372.9375
"62","6-30-2019",215023.875,77930.1875,164666.1875
"63","7-31-2013",34672.75,56449.5,23769.9375
"64","7-31-2014",51549,68177,33211.1875
"65","7-31-2015",50497.75,62250.25,37967.5
"66","7-31-2016",43437.375,214587,164605.25
"67","7-31-2017",256286.8125,221941.0625,143024.4375
"68","7-31-2018",358464.3125,85215.375,171600.5
"69","7-31-2019",209937.4375,199294,153039.8125
"70","8-31-2013",29050,60279.625,25986.1875
"71","8-31-2014",41267.75,72502.4375,35525.125
"72","8-31-2015",47343.25,71664.875,32658.375
"73","8-31-2016",39670.125,225834.625,173752.875
"74","8-31-2017",259324.8125,221906.8125,136217.3125
"75","8-31-2018",259101.5,90504.25,181830.9375
"76","8-31-2019",192430.5,186089.75,174064.625
"77","9-30-2013",24113.75,57227.9375,24590.1875
"78","9-30-2014",33737.5,61607.9375,35413.5
"79","9-30-2015",51034.1875,76470.875,39053
"80","9-30-2016",40486.6875,223366.4375,173255.5
"81","9-30-2017",227595.4375,216495.875,146827.4375
"82","9-30-2018",182587.125,82164.0625,167854.5625
"83","9-30-2019",150458.25,187397.9375,179116.4375
