"","Date","Chilled_water","Electricity","Solar","Steam"
"1",2014-01-31,0,9099.4375,0,36435.375
"2",2015-01-31,123681.5,348556.25,0,155334.625
"3",2016-01-31,123188.25,358305.5,0,684994.5625
"4",2017-01-31,124133.6875,344705.0625,0,767159.6875
"5",2018-01-31,105072,343071.4375,13063.002,654342.3125
"6",2019-01-31,115726.5,359037.125,4991.48438,625795.75
"7",2013-10-31,15421.5625,9367.6875,0,9274.0625
"8",2014-10-31,77769.4375,374798.9375,0,30329.9375
"9",2015-10-31,457356.25,374004.9375,0,319095.9375
"10",2016-10-31,371037.4375,389090.25,0,249223.5625
"11",2017-10-31,384079.0625,382184.0625,27841.707,195891.9375
"12",2018-10-31,288934.75,394376.9375,8051.98438,232179.9375
"13",2019-10-31,349457.25,388930,8502.797,274114.8125
"14",2013-11-30,6040.5,9322.6875,0,23840.125
"15",2014-11-30,15317.1875,362487.125,0,37344.1875
"16",2015-11-30,134356.25,349394.5625,0,595079.625
"17",2016-11-30,228289.9375,357203.125,0,399418.25
"18",2017-11-30,152550.5625,352177.5625,17299.7988,391121.0625
"19",2018-11-30,123488.5625,351118.9375,4658.85938,425544
"20",2019-11-30,163619.625,363348.4375,5706.78125,419075.5
"21",2013-12-31,226.5,7444.25,0,38620.6875
"22",2014-12-31,1632.375,307379.8125,0,82524.25
"23",2015-12-31,98937.375,256681,0,608294.4375
"24",2016-12-31,121312.4375,241146.3125,0,688555.875
"25",2017-12-31,95598.5,289277.4375,19514.88,655318.375
"26",2018-12-31,82661.5,283999.0625,5006.09375,567422.4375
"27",2019-12-31,106471.5,269911.5625,1663.10938,609136
"28",2013-02-28,0,9108.375,0,90585
"29",2014-02-28,0,8845.375,0,54657
"30",2015-02-28,130832.75,331266.9375,0,99384.6875
"31",2017-02-28,132650.5,352332.5625,0,511788.0625
"32",2018-02-28,126484,339193.1875,26132.1348,555357.25
"33",2019-02-28,98332.0625,352632.625,5601.53125,627674.6875
"34",2016-02-29,153914.5,341621.875,0,451482.8125
"35",2013-03-31,0,9175.3125,0,60732.8125
"36",2014-03-31,4285.5,8941.6875,0,39907.5
"37",2015-03-31,187171,332956.25,0,69171.4375
"38",2016-03-31,154401.5,334097.3125,0,398228.1875
"39",2017-03-31,184076.75,349775.125,31539.2949,400754.5
"40",2018-03-31,135104.5,346368.875,29028.4961,512575.1875
"41",2019-03-31,131770.5,353948.1875,8568.844,498243.25
"42",2013-04-30,23479.8125,9549.5625,0,40208.5
"43",2014-04-30,21264.7375,9118.625,0,36241.5625
"44",2015-04-30,242911.5,353291.125,0,88972.25
"45",2016-04-30,269012.5,352477.1875,0,282145.1875
"46",2017-04-30,248359.75,350526.625,35441.2266,306225.875
"47",2018-04-30,239256.5,362238.25,35858.7344,370585.75
"48",2019-04-30,315983.25,370804.25,8916.844,296582.5625
"49",2013-05-31,44052.9375,10006.0625,0,24023.8125
"50",2014-05-31,29030.5625,9983.5625,0,19962.625
"51",2015-05-31,290329.4375,357999.5,0,80478.5625
"52",2016-05-31,486274.9375,363472.25,0,225662.8125
"53",2017-05-31,530030.1875,372048.75,44817.0977,224412.5625
"54",2018-05-31,421338.9375,372053.8125,43211.22,261803.0625
"55",2019-05-31,333499.6875,381253,11722.8486,287039.4375
"56",2013-06-30,56405.5,7571.75,0,19604.875
"57",2014-06-30,27405.75,7382.875,0,11730.375
"58",2015-06-30,424120.25,240184.5625,0,55084.0625
"59",2016-06-30,525808.375,227873.125,0,110114.75
"60",2017-06-30,605471.3125,285156.75,44113.3633,131312.3125
"61",2018-06-30,515343.8125,273820.75,44576.3945,139683.4375
"62",2019-06-30,575129.8125,286522.6875,13025.7188,139635.375
"63",2013-07-31,51590,5117.9375,0,18744.9375
"64",2014-07-31,27133.5,6678.625,0,1818.875
"65",2015-07-31,402206.625,179914.5,0,44969.375
"66",2016-07-31,510896.6875,191417,0,88072.625
"67",2017-07-31,574350.25,219133.375,44896.7969,90107.375
"68",2018-07-31,484933.125,212809.8125,40975.7227,75332.1875
"69",2019-07-31,509735.75,232277.375,12567.2344,110136.4375
"70",2013-08-31,42630.125,4921.375,0,8307.5
"71",2014-08-31,23346.8125,5741.0625,0,1825.1875
"72",2015-08-31,565245.75,190663.375,0,48911.5
"73",2016-08-31,404116,185902.5,0,104082.8125
"74",2017-08-31,508395.25,197532.6875,38300.34,89431.0625
"75",2018-08-31,296270.375,206012.6875,36266.95,106773.4375
"76",2019-08-31,532377.3125,200066.1875,11095.3594,104799.9375
"77",2013-09-30,37360.1875,6261.5625,0,4353.875
"78",2014-09-30,106128.0625,5336.8125,0,11606.5
"79",2015-09-30,416564.6875,244898.3125,0,172014.4375
"80",2016-09-30,479779.3125,258368.625,0,129885.75
"81",2017-09-30,470121.75,233009.25,29214.61,115156.625
"82",2018-09-30,269041.9375,244793.5,30130.4121,133290.3125
"83",2019-09-30,437640.4375,247247.625,9478.906,132134.1875
