Building,Maintained Gross Sq. Ft.
Chemistry Annex,102700
Physics Building,112553
Wickson Hall,112937
Hutchison Hall,113561
Life Sciences,125969
Plant & Environmental Sciences,126837
Academic Surge Building,127426
Chemistry,131382
King Hall,133921
Sciences Lab Building,140712
Memorial Union,157738
Activities and Recreation Center,158120
Social Sciences & Humanities,159842
Haring Hall,160285
Bainer Hall,165259
ARC Pavilion,171940
Kemper Hall,188023
Briggs Hall,191082
Meyer Hall,217997
Genome & Biomedical Sciences Facility,229665
Tupper Hall,237714
Shields Library,410015
